,,,
Debit/Credit Card in GHS,"GH?50,395.00",Ghana,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Ghana,University of Washington receives
American Express in GBP,"£7,852.00",Gibraltar,University of Washington receives
VISA: Debit/Credit in GBP,"£7,852.00",Gibraltar,University of Washington receives
MasterCard: Debit/Credit in GBP,"£7,852.00",Gibraltar,University of Washington receives
Debit/Credit Card in GIP,"£7,970.00",Gibraltar,University of Washington receives
International Bank Transfer in Euros (EUR),"8.823,00 €",Gibraltar,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Gibraltar,University of Washington receives
Domestic Bank Transfer in Euros (EUR),"8.823,00 €",Greece,University of Washington receives
VISA: Debit/Credit in EUR,"8.908,00 €",Greece,University of Washington receives
MasterCard: Debit/Credit in EUR,"8.908,00 €",Greece,University of Washington receives
American Express in EUR,"8.908,00 €",Greece,University of Washington receives
PayPal in EUR,"8.994,00 €",Greece,University of Washington receives
,,Greece,University of Washington receives
MasterCard: Debit/Credit in DKK,"66.375,00 kr",Greenland,University of Washington receives
VISA: Debit/Credit in DKK,"66.375,00 kr",Greenland,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Greenland,University of Washington receives
Debit/Credit Card in XCD,"$28,500.00",Grenada,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Grenada,University of Washington receives
International Bank Transfer in Euros (EUR),"8.823,00 €",Guadeloupe,University of Washington receives
,,Guadeloupe,University of Washington receives
Debit/Credit Card in GTQ,"GTQ78,810.00",Guam,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guam,University of Washington receives
Debit/Credit Card in GTQ,"GTQ78,801.00",Guatemala,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guatemala,University of Washington receives
American Express in GBP,"£7,852.00",Guernsey,University of Washington receives
VISA: Debit/Credit in GBP,"£7,852.00",Guernsey,University of Washington receives
MasterCard: Debit/Credit in GBP,"£7,852.00",Guernsey,University of Washington receives
International Bank Transfer in British Pounds (GBP),"£7,777.00",Guernsey,University of Washington receives
,,Guernsey,University of Washington receives
Debit/Credit Card in GNF,"95,199,000.00 FG",Guinea,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guinea,University of Washington receives
Debit/Credit Card in XOF,"5,930,500.00 CFA",Guinea-Bissau,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guinea-Bissau,University of Washington receives
Debit/Credit Card in GYD,"2,206,250.00 G$",Guyana,University of Washington receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Guyana,University of Washington receives
